MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Solar|PV,4.75,26.75,112,383.5,276.6,77.59259259
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0.2,0.037037037
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0,0.148148148
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Solar|PV,2.75,9.75,36.66666667,129.5,105.6,34.92592593
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Solar|PV,-0.000000384,-0.000000576,-0.000000538,-0.000000691,0.175727633,0.575642737
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Solar|PV,-0.000000269,-0.000000422,-0.000000614,0.0097096,0.260509072,0.426292816
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Solar|PV,0,0,-3.84E-08,-3.84E-08,-7.68E-08,-7.68E-08
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Solar|PV,0,0,3.84E-08,0,0,0
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Solar|PV,-0.000000307,-0.000000422,-0.000000576,-0.000000691,0.206261562,0.496803901
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Wind,0.816254417,1.8125,2.961139896,4.081206497,4.522417154,4.360759494
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Wind,0.614840989,1.220238095,1.924870466,2.684454756,3.1208577,3.193037975
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Wind,-0.236749117,-0.318452381,-0.398963731,-0.47099768,-0.477582846,-0.460443038
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Wind,-0.010600707,-0.020833333,-0.033678756,-0.046403712,-0.046783626,-0.037974684
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Wind,1.056537102,1.416666667,1.733160622,2.055684455,2.167641326,2.148734177
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Wind,0.001546976,0.002547694,0.003438326,0.014311372,0.187408595,0.419988016
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Wind,0.00154695,0.002453992,0.003049716,0.193925463,0.347081391,0.39732333
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Wind,0,0,0.0000902,0.000420486,0.000880846,0.001387048
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Wind,0,0,0.00000468,0.00000931,0.0000057,0.00000475
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Wind,0.829202912,0.26330571,0.181863061,0.18260644,0.357439697,0.562568849
