MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Solar|PV,0,-0.000121888,-0.000270846,-0.000393018,-0.000520324,0.120051309
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Solar|PV,0,0.000000972,0.0000026,0.00000191,0.000000304,0.000003
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Solar|PV,0.768091175,0.989163072,0.51619254,-0.000585421,0.137729189,0.40942968
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Wind,1.827129859,2.1,2.421875,2.744147157,2.552098408,2.449507389
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Wind,1.813895782,1.963709677,2.141447368,2.298494983,1.98552822,1.804802956
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Wind,0.248138958,0.35,0.490953947,0.622073579,0.588277858,0.525246305
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Wind,0.024813896,0.021774194,0.013980263,0,-0.013024602,-0.016009852
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Wind,1.890818859,2.104032258,2.298519737,2.393812709,1.893632417,1.463054187
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Wind,1.404347538,0.955861267,0.650705465,0.559197617,0.66940636,0.777726489
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Wind,1.404995234,0.956295707,0.65097933,0.367886013,0.423668596,0.511245962
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Wind,0,0.008171525,0.146828849,0.191939971,0.219908523,0.241188954
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Wind,0,0,0.000000309,-0.001679323,-0.000836273,-0.002038758
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Wind,2.666484225,2.750054283,2.054924373,1.254968441,0.701971101,0.701409701
